Id,Genre,Adventure,Biography,Comedy,Family
tt0086425,"['Comedy', 'Drama']";0;0;1;0
tt0086465,['Comedy'];0;0;1;0
tt0086034,"['Action', 'Adventure', 'Thriller']";1;0;0;0
tt0085970,"['Comedy', 'Drama']";0;0;1;0
tt0086200,"['Comedy', 'Crime', 'Drama']";0;0;1;0
tt0085995,"['Adventure', 'Comedy']";1;0;1;0
tt0086393,"['Action', 'Comedy', 'Sci-Fi']";0;0;1;0
tt0085244,"['Comedy', 'Drama']";0;0;1;0
tt0086006,"['Action', 'Adventure', 'Thriller']";1;0;0;0
tt0086312,"['Biography', 'Drama', 'History']";0;1;0;0
tt0086129,['Comedy'];0;0;1;0
tt0086005,"['Adventure', 'Drama']";1;0;0;0
tt0085470,['Comedy'];0;0;1;0
tt0085678,"['Adventure', 'Drama', 'Romance']";1;0;0;0
tt0086352,"['Comedy', 'Romance']";0;0;1;0
tt0086494,"['Comedy', 'Fantasy', 'Romance']";0;0;1;0
tt0085980,['Comedy'];0;0;1;0
tt0085346,"['Comedy', 'Drama', 'Romance']";0;0;1;0
tt0086197,"['Adventure', 'Drama', 'History']";1;0;0;0
tt0085334,"['Comedy', 'Family']";0;0;1;1
tt0085919,"['Comedy', 'Drama']";0;0;1;0
tt0086525,"['Comedy', 'Romance']";0;0;1;0
tt0085811,"['Action', 'Adventure', 'Fantasy']";1;0;0;0
tt0086346,"['Action', 'Adventure', 'Sci-Fi']";1;0;0;0
tt0085387,"['Comedy', 'Action']";0;0;1;0
tt0085478,"['Comedy', 'Drama']";0;0;1;0
tt0086143,"['Comedy', 'Romance']";0;0;1;0
tt0086397,"['Comedy', 'Crime', 'Drama']";0;0;1;0
tt0086379,"['Action', 'Comedy', 'Romance']";0;0;1;0
tt0085248,"['Adventure', 'Family']";1;0;0;1
tt0087127,"['Adventure', 'Fantasy']";1;0;0;0
tt0086637,['Comedy'];0;0;1;0
tt0085891,"['Comedy', 'Drama', 'Romance']";0;0;1;0
tt0085450,['Comedy'];0;0;1;0
tt0085412,"['Comedy', 'Crime']";0;0;1;0
tt0085873,"['Comedy', 'Fantasy', 'Romance']";0;0;1;0
tt0086373,['Comedy'];0;0;1;0
tt0086205,['Comedy'];0;0;1;0
tt0085608,['Adventure'];1;0;0;0
tt0086355,"['Biography', 'Drama']";0;1;0;0
tt0086370,"['Comedy', 'Crime']";0;0;1;0
tt0085859,"['Comedy', 'Drama']";0;0;1;0
tt0086325,"['Comedy', 'Crime']";0;0;1;0
tt0085935,"['Adventure', 'Sci-Fi', 'Action']";1;0;0;0
tt0085384,"['Comedy', 'Crime', 'Mystery']";0;0;1;0
tt0086476,"['Comedy', 'Mystery', 'Thriller']";0;0;1;0
tt0086618,"['Action', 'Adventure', 'Comedy']";1;0;1;0
