Id;Genre;Comedy;Horror
tt0086425;"['Comedy', 'Drama']";1;0
tt0086465;['Comedy'];1;0
tt0085970;"['Comedy', 'Drama']";1;0
tt0086200;"['Comedy', 'Crime', 'Drama']";1;0
tt0085995;"['Adventure', 'Comedy']";1;0
tt0086393;"['Action', 'Comedy', 'Sci-Fi']";1;0
tt0085244;"['Comedy', 'Drama']";1;0
tt0085750;['Horror'];0;1
tt0086154;"['Crime', 'Horror', 'Mystery']";0;1
tt0086129;['Comedy'];1;0
tt0086491;"['Horror', 'Sci-Fi']";0;1
tt0085470;['Comedy'];1;0
tt0086352;"['Comedy', 'Romance']";1;0
tt0086494;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0085980;['Comedy'];1;0
tt0085346;"['Comedy', 'Drama', 'Romance']";1;0
tt0085382;"['Horror', 'Thriller']";0;1
tt0085333;"['Action', 'Drama', 'Horror']";0;1
tt0085407;"['Horror', 'Sci-Fi', 'Thriller']";0;1
tt0085334;"['Comedy', 'Family']";1;0
tt0085919;"['Comedy', 'Drama']";1;0
tt0086525;"['Comedy', 'Romance']";1;0
tt0085387;"['Comedy', 'Action']";1;0
tt0085478;"['Comedy', 'Drama']";1;0
tt0086143;"['Comedy', 'Romance']";1;0
tt0086397;"['Comedy', 'Crime', 'Drama']";1;0
tt0086379;"['Action', 'Comedy', 'Romance']";1;0
tt0086637;['Comedy'];1;0
tt0085891;"['Comedy', 'Drama', 'Romance']";1;0
tt0085694;"['Horror', 'Mystery', 'Thriller']";0;1
tt0085450;['Comedy'];1;0
tt0085412;"['Comedy', 'Crime']";1;0
tt0085873;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0086373;['Comedy'];1;0
tt0086205;['Comedy'];1;0
tt0086014;"['Horror', 'Sci-Fi']";0;1
tt0086370;"['Comedy', 'Crime']";1;0
tt0085159;['Horror'];0;1
tt0085701;"['Fantasy', 'Horror', 'Romance']";0;1
tt0085859;"['Comedy', 'Drama']";1;0
tt0086325;"['Comedy', 'Crime']";1;0
tt0085384;"['Comedy', 'Crime', 'Mystery']";1;0
tt0087746;['Horror'];0;1
tt0086476;"['Comedy', 'Mystery', 'Thriller']";1;0
tt0086618;"['Action', 'Adventure', 'Comedy']";1;0
tt0085780;['Horror'];0;1
tt0085764;['Comedy'];1;0
tt0086541;"['Horror', 'Sci-Fi']";0;1
tt0086264;['Comedy'];1;0
tt0085208;"['Comedy', 'Drama', 'Romance']";1;0
tt0085551;"['Comedy', 'Music']";1;0
tt0086374;"['Horror', 'Mystery', 'Sci-Fi']";0;1
tt0085868;['Comedy'];1;0
tt0086036;['Horror'];0;1
tt0085588;['Comedy'];1;0
tt0086112;"['Comedy', 'Musical', 'Romance']";1;0
tt0086960;"['Action', 'Comedy', 'Crime']";1;0
tt0087332;"['Adventure', 'Comedy', 'Fantasy']";1;0
tt0087363;"['Comedy', 'Fantasy', 'Horror']";1;1
tt0087928;['Comedy'];1;0
tt0088011;"['Action', 'Adventure', 'Comedy']";1;0
tt0088161;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0088000;['Comedy'];1;0
tt0086998;"['Comedy', 'Drama', 'Music']";1;0
tt0086927;['Comedy'];1;0
tt0087062;"['Action', 'Comedy', 'Crime']";1;0
tt0086873;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0087032;"['Action', 'Comedy']";1;0
tt0088242;"['Comedy', 'Drama']";1;0
tt0087951;['Comedy'];1;0
tt0087755;"['Comedy', 'Drama', 'Family']";1;0
tt0087800;['Horror'];0;1
tt0088414;"['Comedy', 'Romance']";1;0
tt0087747;"['Comedy', 'Drama', 'Romance']";1;0
tt0087265;"['Comedy', 'Drama', 'Romance']";1;0
tt0088128;"['Comedy', 'Romance']";1;0
tt0087835;"['Comedy', 'Fantasy']";1;0
tt0088001;"['Comedy', 'Music']";1;0
tt0088385;['Comedy'];1;0
tt0088286;['Comedy'];1;0
tt0087425;"['Comedy', 'Romance', 'Sport']";1;0
tt0086955;"['Comedy', 'War']";1;0
tt0159539;"['Comedy', 'Romance']";1;0
tt0087507;"['Action', 'Comedy', 'Crime']";1;0
tt0087262;"['Action', 'Horror', 'Sci-Fi']";0;1
tt0086999;"['Comedy', 'Drama', 'Musical']";1;0
tt0087050;['Horror'];0;1
tt0087799;"['Comedy', 'Horror', 'Sci-Fi']";1;1
tt0087451;"['Action', 'Adventure', 'Comedy']";1;0
tt0087482;"['Comedy', 'Drama', 'Romance']";1;0
tt0088333;['Comedy'];1;0
tt0088224;"['Action', 'Drama', 'Comedy']";1;0
tt0088402;"['Comedy', 'Drama']";1;0
tt0087003;['Comedy'];1;0
tt0088249;"['Horror', 'Documentary', 'Thriller']";0;1
tt0086987;"['Comedy', 'Romance']";1;0
tt0087866;"['Comedy', 'Drama', 'Sport']";1;0
tt0087983;"['Drama', 'Romance', 'Comedy']";1;0
tt0087525;"['Comedy', 'Music', 'Romance']";1;0
tt0087385;['Comedy'];1;0
tt0087932;"['Action', 'Comedy', 'Crime']";1;0
tt0086856;"['Adventure', 'Comedy', 'Romance']";1;0
tt0087968;"['Comedy', 'Drama', 'Romance']";1;0
tt0087635;['Comedy'];1;0
tt0087428;"['Comedy', 'Drama', 'Romance']";1;0
tt0086886;"['Comedy', 'Crime', 'Romance']";1;0
tt0087810;"['Comedy', 'Drama', 'Music']";1;0
tt0087015;"['Horror', 'Sci-Fi']";0;1
tt0087666;"['Comedy', 'Romance', 'Sport']";1;0
tt0088258;"['Comedy', 'Music']";1;0
tt0087513;"['Comedy', 'Romance']";1;0
tt0087004;"['Comedy', 'Sci-Fi']";1;0
tt0087464;"['Horror', 'Mystery', 'Sci-Fi']";0;1
tt0088117;"['Horror', 'Thriller']";0;1
tt0087054;"['Comedy', 'Drama', 'Romance']";1;0
tt0088184;"['Comedy', 'Drama']";1;0
tt0087197;"['Comedy', 'Drama', 'Music']";1;0
tt0087313;"['Comedy', 'Drama']";1;0
tt0087260;['Comedy'];1;0
tt0087072;['Comedy'];1;0
tt0088046;['Comedy'];1;0
tt0087981;"['Horror', 'Thriller']";0;1
tt0087096;"['Adventure', 'Comedy', 'Crime']";1;0
tt0087995;"['Comedy', 'Crime', 'Sci-Fi']";1;0
tt0088763;"['Adventure', 'Comedy', 'Sci-Fi']";1;0
tt0089370;"['Action', 'Adventure', 'Comedy']";1;0
tt0089218;"['Adventure', 'Comedy', 'Family']";1;0
tt0090056;"['Adventure', 'Comedy']";1;0
tt0089822;['Comedy'];1;0
tt0089155;"['Comedy', 'Crime', 'Mystery']";1;0
tt0089670;['Comedy'];1;0
tt0088847;"['Comedy', 'Drama']";1;0
tt0089791;"['Adventure', 'Comedy', 'Family']";1;0
tt0088850;['Comedy'];1;0
tt0090142;"['Comedy', 'Fantasy']";1;0
tt0089643;"['Comedy', 'Drama', 'Romance']";1;0
tt0089686;"['Fantasy', 'Horror']";0;1
tt0089017;"['Comedy', 'Drama']";1;0
tt0089841;"['Comedy', 'Crime', 'Drama']";1;0
tt0089461;"['Action', 'Comedy', 'Drama']";1;0
tt0089175;"['Fantasy', 'Horror', 'Thriller']";0;1
tt0090098;"['Comedy', 'Romance']";1;0
tt0090305;"['Comedy', 'Romance', 'Sci-Fi']";1;0
tt0088885;"['Animation', 'Adventure', 'Comedy']";1;0
tt0090274;['Comedy'];1;0
tt0090103;"['Comedy', 'Drama', 'Romance']";1;0
tt0089421;"['Action', 'Adventure', 'Comedy']";1;0
tt0088930;"['Comedy', 'Crime', 'Mystery']";1;0
tt0089901;"['Action', 'Adventure', 'Comedy']";1;0
tt0089907;"['Comedy', 'Horror', 'Sci-Fi']";1;1
tt0090184;['Comedy'];1;0
tt0088889;"['Comedy', 'Horror', 'Thriller']";1;1
tt0089886;"['Comedy', 'Romance', 'Sci-Fi']";1;0
tt0088947;"['Comedy', 'Drama', 'Mystery']";1;0
tt0090021;['Horror'];0;1
tt0089489;"['Action', 'Horror', 'Sci-Fi']";0;1
tt0089393;"['Comedy', 'Romance']";1;0
tt0089444;"['Comedy', 'Drama', 'Music']";1;0
tt0089222;"['Action', 'Comedy', 'Mystery']";1;0
tt0089853;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0089629;['Comedy'];1;0
tt0088680;"['Comedy', 'Crime', 'Drama']";1;0
tt0088794;"['Comedy', 'Romance']";1;0
tt0089504;['Comedy'];1;0
tt0089730;"['Comedy', 'Horror']";1;1
tt0089114;"['Adventure', 'Comedy', 'Family']";1;0
tt0089601;"['Comedy', 'Romance']";1;0
tt0089543;"['Comedy', 'Thriller']";1;0
tt0089981;"['Comedy', 'Romance']";1;0
tt0089346;"['Comedy', 'Drama', 'Thriller']";1;0
tt0090196;"['Comedy', 'Fantasy', 'Horror']";1;1
tt0089208;"['Comedy', 'Music', 'Romance']";1;0
tt0089264;"['Comedy', 'Drama', 'Romance']";1;0
tt0088960;"['Comedy', 'Romance', 'Sci-Fi']";1;0
tt0088993;['Horror'];0;1
tt0089652;"['Action', 'Adventure', 'Comedy']";1;0
tt0089265;"['Comedy', 'Fantasy', 'Romance']";1;0
tt0090217;"['Action', 'Comedy', 'Drama']";1;0
tt0088851;"['Fantasy', 'Horror', 'Romance']";0;1
tt0089167;['Comedy'];1;0
tt0089304;['Comedy'];1;0
tt0088765;['Comedy'];1;0
tt0089569;['Comedy'];1;0
tt0089885;"['Comedy', 'Horror', 'Sci-Fi']";1;1
tt0090036;"['Comedy', 'Music', 'Romance']";1;0
tt0089052;"['Biography', 'Comedy', 'Drama']";1;0
tt0089523;"['Comedy', 'Western']";1;0
tt0089383;"['Comedy', 'Drama']";1;0
tt0089622;"['Comedy', 'Sci-Fi']";1;0
tt0090095;"['Comedy', 'Drama', 'Thriller']";1;0
tt0089839;['Comedy'];1;0
tt0089679;"['Drama', 'Horror', 'Thriller']";0;1
tt0089034;"['Horror', 'Drama']";0;1
tt0086876;"['Comedy', 'Drama']";1;0
tt0089126;"['Comedy', 'Drama']";1;0
tt0090209;"['Comedy', 'Crime', 'Drama']";1;0
tt0090555;"['Adventure', 'Comedy']";1;0
tt0092007;"['Adventure', 'Comedy', 'Sci-Fi']";1;0
tt0090685;"['Comedy', 'Romance', 'Sport']";1;0
tt0090605;"['Action', 'Horror', 'Sci-Fi']";0;1
tt0091129;"['Action', 'Adventure', 'Comedy']";1;0
tt0091877;"['Comedy', 'Crime']";1;0
tt0091042;['Comedy'];1;0
tt0090966;['Comedy'];1;0
tt0091396;"['Comedy', 'Crime', 'Romance']";1;0
tt0090633;"['Animation', 'Comedy', 'Drama']";1;0
tt0091777;['Comedy'];1;0
tt0091187;"['Action', 'Comedy', 'Drama']";1;0
tt0091738;"['Comedy', 'Drama', 'Fantasy']";1;0
tt0091778;['Horror'];0;1
tt0091949;"['Comedy', 'Family', 'Sci-Fi']";1;0
tt0091790;"['Comedy', 'Drama', 'Romance']";1;0
tt0091064;"['Drama', 'Horror', 'Sci-Fi']";0;1
tt0092086;"['Comedy', 'Western']";1;0
tt0091419;"['Comedy', 'Musical', 'Sci-Fi']";1;0
tt0090583;"['Comedy', 'Drama', 'Romance']";1;0
tt0091875;"['Action', 'Comedy', 'Crime']";1;0
tt0091541;['Comedy'];1;0
tt0091159;"['Comedy', 'Drama']";1;0
tt0091167;"['Comedy', 'Drama']";1;0
tt0091653;"['Comedy', 'Drama', 'Romance']";1;0
tt0091306;"['Comedy', 'Romance', 'Thriller']";1;0
tt0091991;"['Comedy', 'Romance']";1;0
tt0092214;"['Comedy', 'Sport']";1;0
tt0091188;"['Comedy', 'Drama']";1;0
tt0090886;"['Comedy', 'Drama']";1;0
tt0092105;['Comedy'];1;0
tt0091080;"['Horror', 'Thriller']";0;1
tt0091223;"['Comedy', 'Fantasy', 'Horror']";1;1
tt0091295;"['Biography', 'Comedy', 'Drama']";1;0
tt0091225;"['Action', 'Adventure', 'Comedy']";1;0
tt0090660;"['Action', 'Comedy', 'Crime']";1;0
tt0092035;['Comedy'];1;0
tt0091680;"['Comedy', 'Romance']";1;0
tt0090887;"['Action', 'Comedy', 'Horror']";1;1
tt0090655;"['Horror', 'Mystery']";0;1
tt0090856;['Comedy'];1;0
tt0090774;['Comedy'];1;0
tt0091055;"['Action', 'Adventure', 'Comedy']";1;0
tt0090728;"['Action', 'Adventure', 'Comedy']";1;0
tt0092133;"['Comedy', 'Drama', 'Music']";1;0
tt0090917;"['Drama', 'Horror', 'Sci-Fi']";0;1
tt0092226;"['Comedy', 'Crime']";1;0
tt0091983;"['Comedy', 'Crime', 'Romance']";1;0
tt0091445;"['Comedy', 'Drama', 'Romance']";1;0
tt0091178;"['Horror', 'Comedy', 'Musical']";1;1
tt0092076;"['Comedy', 'Horror']";1;1
tt0090713;"['Comedy', 'Drama', 'Sport']";1;0
tt0091499;"['Action', 'Comedy', 'Horror']";1;1
tt0090327;"['Horror', 'Mystery', 'Thriller']";0;1
tt0091939;"['Comedy', 'Romance']";1;0
tt0092112;"['Comedy', 'Horror', 'Music']";1;1
tt0091051;"['Action', 'Comedy', 'Crime']";1;0
tt0092115;"['Fantasy', 'Horror']";0;1
tt0092147;"['Comedy', 'Horror']";1;1
tt0091276;"['Horror', 'Sci-Fi']";0;1
tt0091668;"['Comedy', 'Crime', 'Romance']";1;0
tt0091579;['Comedy'];1;0
tt0091344;"['Action', 'Adventure', 'Horror']";0;1
tt0092079;"['Comedy', 'Drama']";1;0
tt0092240;"['Action', 'Horror', 'Romance']";0;1
tt0092850;"['Comedy', 'Horror']";1;1
tt0092117;"['Musical', 'Comedy']";1;0
tt0091647;"['Horror', 'Mystery', 'Thriller']";0;1
tt0091282;"['Adventure', 'Action', 'Comedy']";1;0
tt0090985;"['Comedy', 'Drama']";1;0
tt0091415;['Horror'];0;1
tt0090852;['Comedy'];1;0
tt0090967;"['Comedy', 'Crime', 'Drama']";1;0
tt0091083;"['Horror', 'Sci-Fi']";0;1
tt0092104;"['Comedy', 'Drama', 'Romance']";1;0
tt0092068;"['Comedy', 'Crime', 'Drama']";1;0
tt0091113;"['Comedy', 'Drama']";1;0
tt0091534;['Comedy'];1;0
tt0091630;"['Comedy', 'Horror', 'Sci-Fi']";1;1
tt0092195;"['Action', 'Comedy', 'Music']";1;0
tt0092074;"['Comedy', 'Horror', 'Sci-Fi']";1;1
tt0089221;"['Comedy', 'Drama']";1;0
tt0094037;"['Action', 'Comedy']";1;0
tt0093315;"['Comedy', 'Sport']";1;0
tt0091173;['Comedy'];1;0
